1,Flag of South Sudan,South Sudan,9. 7. 2011,2011
2,Flag of Kosovo,Kosovo,17. 2. 2008,2008
3,Flag of Serbia,Serbia,5. 6. 2006,2006
4,Flag of Montenegro,Montenegro,3. 6. 2006,2006
5,Flag of Palau,Palau,1. 10. 1994,1994
6,Flag of Eritrea,Eritrea,24. 5. 1993,1993
7,Flag of Czechia,Czechia,1. 1. 1993,1993
8,Flag of Slovakia,Slovakia,1. 1. 1993,1993
9,Flag of Bosnia and Herzegovina,Bosnia and Herzegovina,1. 3. 1992,1992
10,Flag of Kazakhstan,Kazakhstan,16. 12. 1991,1991
11,Flag of Turkmenistan,Turkmenistan,27. 10. 1991,1991
12,Flag of Armenia,Armenia,21. 9. 1991,1991
13,Flag of Tajikistan,Tajikistan,9. 9. 1991,1991
14,Flag of North Macedonia,North Macedonia,8. 9. 1991,1991
15,Flag of Uzbekistan,Uzbekistan,1. 9. 1991,1991
16,Flag of Kyrgyzstan,Kyrgyzstan,31. 8. 1991,1991
17,Flag of Azerbaijan,Azerbaijan,30. 8. 1991,1991
18,Flag of Moldova,Moldova,27. 8. 1991,1991
19,Flag of Belarus,Belarus,25. 8. 1991,1991
20,Flag of Russia,Russia,24. 8. 1991,1991
21,Flag of Ukraine,Ukraine,24. 8. 1991,1991
22,Flag of Latvia,Latvia,21. 8. 1991,1991
23,Flag of Estonia,Estonia,20. 8. 1991,1991
24,Flag of Croatia,Croatia,25. 6. 1991,1991
25,Flag of Slovenia,Slovenia,25. 6. 1991,1991
26,Flag of Georgia,Georgia,9. 4. 1991,1991
27,Flag of Yemen,Yemen,22. 5. 1990,1990
28,Flag of Namibia,Namibia,21. 3. 1990,1990
29,Flag of Lithuania,Lithuania,11. 3. 1990,1990
30,Flag of Palestine,Palestine,15. 11. 1988,1988
31,Flag of Micronesia,Micronesia,3. 11. 1986,1986
32,Flag of Marshall Islands,Marshall Islands,21. 10. 1986,1986
33,Flag of Brunei,Brunei,1. 1. 1984,1984
34,Flag of Saint Kitts and Nevis,Saint Kitts and Nevis,19. 9. 1983,1983
35,Flag of Antigua and Barbuda,Antigua and Barbuda,1. 11. 1981,1981
36,Flag of Belize,Belize,21. 9. 1981,1981
37,Flag of Vanuatu,Vanuatu,30. 7. 1980,1980
38,Flag of Zimbabwe,Zimbabwe,18. 4. 1980,1980
39,Flag of Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,27. 10. 1979,1979
40,Flag of Kiribati,Kiribati,12. 7. 1979,1979
41,Flag of Iran,Iran,1. 4. 1979,1979
42,Flag of Saint Lucia,Saint Lucia,22. 2. 1979,1979
43,Flag of Dominica,Dominica,3. 11. 1978,1978
44,Flag of Tuvalu,Tuvalu,1. 10. 1978,1978
45,Flag of Solomon Islands,Solomon Islands,7. 7. 1978,1978
46,Flag of Djibouti,Djibouti,27. 6. 1977,1977
47,Flag of Seychelles,Seychelles,29. 6. 1976,1976
48,Flag of Timor-Leste,Timor-Leste,28. 11. 1975,1975
49,Flag of Suriname,Suriname,25. 11. 1975,1975
50,Flag of Angola,Angola,11. 11. 1975,1975
51,Flag of Papua New Guinea,Papua New Guinea,16. 9. 1975,1975
52,Flag of São Tomé and Príncipe,São Tomé and Príncipe,12. 7. 1975,1975
53,Flag of Comoros,Comoros,6. 7. 1975,1975
54,Flag of Cape Verde,Cape Verde,5. 7. 1975,1975
55,Flag of Mozambique,Mozambique,25. 6. 1975,1975
56,Flag of Niue,Niue,19. 8. 1974,1974
57,Flag of Grenada,Grenada,7. 2. 1974,1974
58,Flag of Guinea-Bissau,Guinea-Bissau,24. 9. 1973,1973
59,Flag of Bahamas,Bahamas,10. 7. 1973,1973
60,Flag of Bangladesh,Bangladesh,16. 12. 1971,1971
61,Flag of United Arab Emirates,United Arab Emirates,2. 12. 1971,1971
62,Flag of Qatar,Qatar,3. 9. 1971,1971
63,Flag of Bahrain,Bahrain,15. 8. 1971,1971
64,Flag of Fiji,Fiji,10. 10. 1970,1970
65,Flag of Tonga,Tonga,4. 6. 1970,1970
66,Flag of Equatorial Guinea,Equatorial Guinea,12. 10. 1968,1968
67,Flag of Eswatini (Swaziland),Eswatini (Swaziland),6. 9. 1968,1968
68,Flag of Mauritius,Mauritius,12. 3. 1968,1968
69,Flag of Nauru,Nauru,31. 1. 1968,1968
70,Flag of Barbados,Barbados,30. 11. 1966,1966
71,Flag of Lesotho,Lesotho,4. 10. 1966,1966
72,Flag of Botswana,Botswana,30. 9. 1966,1966
73,Flag of Guyana,Guyana,26. 5. 1966,1966
74,Flag of Singapore,Singapore,9. 8. 1965,1965
75,Flag of Cook Islands,Cook Islands,8. 8. 1965,1965
76,Flag of Maldives,Maldives,26. 7. 1965,1965
77,Flag of Gambia,Gambia,18. 2. 1965,1965
78,Flag of Zambia,Zambia,24. 10. 1964,1964
79,Flag of Malta,Malta,21. 9. 1964,1964
80,Flag of Malawi,Malawi,6. 7. 1964,1964
81,Flag of Tanzania,Tanzania,26. 4. 1964,1964
82,Flag of Kenya,Kenya,12. 12. 1963,1963
83,Flag of Trinidad and Tobago,Trinidad and Tobago,31. 8. 1962,1962
84,Flag of Jamaica,Jamaica,6. 8. 1962,1962
85,Flag of Algeria,Algeria,5. 7. 1962,1962
86,Flag of Burundi,Burundi,1. 7. 1962,1962
87,Flag of Rwanda,Rwanda,1. 7. 1962,1962
88,Flag of Samoa,Samoa,1. 1. 1962,1962
89,Flag of Kuwait,Kuwait,19. 6. 1961,1961
90,Flag of Sierra Leone,Sierra Leone,27. 4. 1961,1961
91,Flag of Mauritania,Mauritania,28. 11. 1960,1960
92,Flag of Nigeria,Nigeria,1. 10. 1960,1960
93,Flag of Mali,Mali,22. 9. 1960,1960
94,Flag of Gabon,Gabon,17. 8. 1960,1960
95,Flag of Cyprus,Cyprus,16. 8. 1960,1960
96,Flag of Republic of the Congo,Republic of the Congo,15. 8. 1960,1960
97,Flag of Central African Republic,Central African Republic,13. 8. 1960,1960
98,Flag of Chad,Chad,11. 8. 1960,1960
99,Flag of Côte d'Ivoire (Ivory Coast),Côte d'Ivoire (Ivory Coast),7. 8. 1960,1960
100,Flag of Burkina Faso,Burkina Faso,5. 8. 1960,1960
101,Flag of Benin,Benin,1. 8. 1960,1960
102,Flag of Somalia,Somalia,1. 7. 1960,1960
103,Flag of DR Congo,DR Congo,30. 6. 1960,1960
104,Flag of Madagascar,Madagascar,26. 6. 1960,1960
105,Flag of Togo,Togo,27. 4. 1960,1960
106,Flag of Senegal,Senegal,4. 4. 1960,1960
107,Flag of Cameroon,Cameroon,1. 1. 1960,1960
108,Flag of Guinea,Guinea,2. 10. 1958,1958
109,Flag of Malaysia,Malaysia,31. 8. 1957,1957
110,Flag of Ghana,Ghana,6. 3. 1957,1957
111,Flag of Tunisia,Tunisia,20. 3. 1956,1956
112,Flag of Morocco,Morocco,2. 3. 1956,1956
113,Flag of Sudan,Sudan,1. 1. 1956,1956
114,Flag of Cambodia,Cambodia,9. 11. 1953,1953
115,Flag of Libya,Libya,24. 12. 1951,1951
116,Flag of Bhutan,Bhutan,8. 8. 1949,1949
117,Flag of Laos,Laos,19. 7. 1949,1949
118,Flag of Israel,Israel,14. 5. 1948,1948
119,Flag of Myanmar,Myanmar,4. 1. 1948,1948
120,Flag of India,India,15. 8. 1947,1947
121,Flag of Pakistan,Pakistan,14. 8. 1947,1947
122,Flag of Jordan,Jordan,25. 5. 1946,1946
123,Flag of Syria,Syria,17. 4. 1946,1946
124,Flag of Vietnam,Vietnam,2. 9. 1945,1945
125,Flag of Indonesia,Indonesia,17. 8. 1945,1945
126,Flag of North Korea,North Korea,15. 8. 1945,1945
127,Flag of South Korea,South Korea,15. 8. 1945,1945
128,Flag of Lebanon,Lebanon,22. 11. 1943,1943
129,Flag of Iraq,Iraq,3. 10. 1932,1932
130,Flag of Saudi Arabia,Saudi Arabia,23. 9. 1932,1932
131,Flag of Vatican City (Holy See),Vatican City (Holy See),11. 2. 1929,1929
132,Flag of Turkey,Turkey,29. 10. 1923,1923
133,Flag of Egypt,Egypt,28. 2. 1922,1922
134,Flag of Ireland,Ireland,6. 12. 1921,1921
135,Flag of Mongolia,Mongolia,11. 7. 1921,1921
136,Flag of Afghanistan,Afghanistan,19. 8. 1919,1919
137,Flag of Iceland,Iceland,1. 12. 1918,1918
138,Flag of Poland,Poland,11. 11. 1918,1918
139,Flag of Finland,Finland,6. 12. 1917,1917
140,Flag of Albania,Albania,28. 11. 1912,1912
141,Flag of South Africa,South Africa,31. 5. 1910,1910
142,Flag of New Zealand,New Zealand,26. 9. 1907,1907
143,Flag of Norway,Norway,7. 6. 1905,1905
144,Flag of Panama,Panama,3. 11. 1903,1903
145,Flag of Cuba,Cuba,20. 5. 1902,1902
146,Flag of Australia,Australia,1. 1. 1901,1901
147,Flag of Philippines,Philippines,12. 6. 1898,1898
148,Flag of Bulgaria,Bulgaria,3. 3. 1878,1878
149,Flag of Romania,Romania,9. 5. 1877,1877
150,Flag of Germany,Germany,18. 1. 1871,1871
151,Flag of Canada,Canada,1. 7. 1867,1867
152,Flag of Italy,Italy,17. 3. 1861,1861
153,Flag of Denmark,Denmark,1. 1. 1849,1849
154,Flag of Liberia,Liberia,26. 7. 1847,1847
155,Flag of Dominican Republic,Dominican Republic,27. 2. 1844,1844
156,Flag of Luxembourg,Luxembourg,1. 1. 1839,1839
157,Flag of Belgium,Belgium,4. 10. 1830,1830
158,Flag of Greece,Greece,1. 1. 1829,1829
159,Flag of Uruguay,Uruguay,25. 8. 1825,1825
160,Flag of Bolivia,Bolivia,6. 8. 1825,1825
161,Flag of Brazil,Brazil,7. 9. 1822,1822
162,Flag of Ecuador,Ecuador,24. 5. 1822,1822
163,Flag of Costa Rica,Costa Rica,15. 9. 1821,1821
164,Flag of El Salvador,El Salvador,15. 9. 1821,1821
165,Flag of Guatemala,Guatemala,15. 9. 1821,1821
166,Flag of Honduras,Honduras,15. 9. 1821,1821
167,Flag of Nicaragua,Nicaragua,15. 9. 1821,1821
168,Flag of Peru,Peru,28. 7. 1821,1821
169,Flag of Argentina,Argentina,9. 7. 1816,1816
170,Flag of Venezuela,Venezuela,5. 7. 1811,1811
171,Flag of Paraguay,Paraguay,14. 5. 1811,1811
172,Flag of Chile,Chile,18. 9. 1810,1810
173,Flag of Mexico,Mexico,16. 9. 1810,1810
174,Flag of Colombia,Colombia,20. 7. 1810,1810
175,Flag of Haiti,Haiti,1. 1. 1804,1804
176,Flag of United States,United States,4. 7. 1776,1776
177,Flag of Nepal,Nepal,1. 1. 1768,1768
178,Flag of Liechtenstein,Liechtenstein,23. 1. 1719,1719
179,Flag of United Kingdom,United Kingdom,1. 1. 1707,1707
180,Flag of Oman,Oman,1. 1. 1650,1650
181,Flag of Netherlands,Netherlands,23. 1. 1579,1579
182,Flag of Sweden,Sweden,6. 6. 1523,1523
183,Flag of Spain,Spain,2. 1. 1492,1492
184,Flag of Monaco,Monaco,1. 1. 1419,1419
185,Flag of Switzerland,Switzerland,1. 8. 1291,1291
186,Flag of Andorra,Andorra,1. 1. 1278,1278
187,Flag of Thailand,Thailand,1. 1. 1238,1238
188,Flag of Austria,Austria,1. 1. 1156,1156
189,Flag of Portugal,Portugal,1. 1. 1143,1143
190,Flag of Hungary,Hungary,1. 1. 1001,1001
191,Flag of France,France,1. 1. 0486,486
192,Flag of San Marino,San Marino,3. 9. 0301,301
