scientist,scientistLabel,sitelinks,country,countryLabel
http://www.wikidata.org/entity/Q7504,Irﾃｨne Joliot-Curie,101,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q101740,Benoit Mandelbrot,76,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q181685,Nicolas Carnot,72,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q154353,Franﾃｧois Arago,66,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q164824,Jean-Baptiste Dumas,39,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q311594,Philippe Pinel,37,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q438507,Henry Darcy,27,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q275040,ﾃ・mile Couﾃｩ,25,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q551787,Thomas Corneille,25,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q559926,Maurice Bucaille,23,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q286285,ﾃ・mile Oustalet,20,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q548003,Cheick Modibo Diarra,19,http://www.wikidata.org/entity/Q912,Mali
http://www.wikidata.org/entity/Q51381,Danielle Rousseau,18,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q544915,Louis-Antoine Ranvier,18,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q967987,Lﾃｩon Teisserenc de Bort,17,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2481742,Pierre Charles Alexandre Louis,15,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q4164781,Ali Moustafa Mosharafa,14,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q458966,Auguste Ambroise Tardieu,13,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3666327,ﾃ・mile Achard,13,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2004700,Pierre Bretonneau,12,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q444237,Honorﾃｩ Thﾃｩodoric d'Albert de Luynes,11,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2121581,Richard de Fournival,11,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q4066893,Victor Henri,11,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3012376,Dalia Mogahed,10,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q928554,Henri-Alexandre Danlos,10,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q1222132,Radulphus Brito,9,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q1605876,Henri Hyvernat,9,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q5959091,ﾃ・tienne Serres,9,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q1766736,Fouad Laroui,8,http://www.wikidata.org/entity/Q1028,Morocco
http://www.wikidata.org/entity/Q389589,Rﾃｩgis Blachﾃｨre,8,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q505129,Paul Sﾃｩjournﾃｩ,8,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q7088836,Olufunmilayo Olopade,8,http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q3297386,Norbert Rillieux,8,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q23782661,Patience Mthunzi,8,http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q111447,Andrﾃｩ Guinier,7,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q290008,ﾃ・tienne Pariset,7,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q834149,Christoph Wilhelm von Koch,7,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q25455134,Mustapha Ishak-Boushaki,7,http://www.wikidata.org/entity/Q262,Algeria
http://www.wikidata.org/entity/Q4681586,Adel Sedra,6,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q20746284,Mwele Ntuli Malecela,6,http://www.wikidata.org/entity/Q924,Tanzania
http://www.wikidata.org/entity/Q21062183,Nagwa Abdel Meguid,6,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q55767537,Gladys Ngetich,6,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q7563919,Sossina M. Haile,6,http://www.wikidata.org/entity/Q115,Ethiopia
http://www.wikidata.org/entity/Q675402,Raoul Bensaude,6,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q1677989,Jacques Gﾃｩry,6,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3719079,Edgard Blochet,6,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2827458,Ahmad al-Tifashi,6,http://www.wikidata.org/entity/Q262,Algeria
http://www.wikidata.org/entity/Q4794379,Kamal Stino,5,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q19957715,Emad Shahin,5,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q53498731,Amina Abubakar,5,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q446546,Franﾃｧois Tavenas,5,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q23769268,Nizar Ibrahim,5,http://www.wikidata.org/entity/Q1028,Morocco
http://www.wikidata.org/entity/Q1601945,Helene Bresslau,5,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2862010,Armand de Gramont,5,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3102347,Georges Boudarel,5,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3163693,Jean-Andrﾃｩ Mongez,5,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3170342,Jean Alt,5,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3588538,ﾃ・mile Girardeau,5,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q4251917,Charles Pierre Lefebvre de Laboulaye,5,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q18000273,Lucien Biart,5,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q18810523,Jean-Loup Huret,5,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q7061550,Rageh Daoud,4,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q12216081,Said S. Bedair,4,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q12216146,Said Ashour,4,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q6835289,Michael Werikhe,4,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q66763730,Lucy Campbell,4,http://www.wikidata.org/entity/Q117,Ghana
http://www.wikidata.org/entity/Q7959292,Wadja Egnankou,4,http://www.wikidata.org/entity/Q1008,Cﾃｴte d'Ivoire
http://www.wikidata.org/entity/Q3158318,Jacques Bonjawo,4,http://www.wikidata.org/entity/Q1009,Cameroon
http://www.wikidata.org/entity/Q3187331,Joﾃ｣o Vﾃ｡rio,4,http://www.wikidata.org/entity/Q1011,Cape Verde
http://www.wikidata.org/entity/Q43381236,Janet Edeme,4,http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q36751867,Betty Anyanwu-Akeredolu,4,http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q53773457,Aisha Fofana Ibrahim,4,http://www.wikidata.org/entity/Q1044,Sierra Leone
http://www.wikidata.org/entity/Q3172923,Jean Labouderie,4,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3903472,Pierre Sabatier,4,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q12900505,Jean Przyluski,4,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q47530615,Clotilde-Camille Deflandre,4,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q5669310,Harry Grindell Matthews,4,http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q6523955,Leo Kuper,4,http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q5681628,Hatim Zaghloul,3,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q6891491,Mohamed Sanad,3,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q4165996,Mu・ｸ･ammad Farﾄｫd Wajdﾄｫ,3,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q20810643,Vinod Chohan,3,http://www.wikidata.org/entity/Q924,Tanzania
http://www.wikidata.org/entity/Q16189023,Sameh El-Saharty,3,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q20273532,Medhat Haroun,3,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q50379520,Fausta Shakiwa Mosha,3,http://www.wikidata.org/entity/Q924,Tanzania
http://www.wikidata.org/entity/Q41204638,Ihab Ilyas,3,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q98736555,Zakya Kafafi,3,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q59654504,Senait Fisseha,3,http://www.wikidata.org/entity/Q115,Ethiopia
http://www.wikidata.org/entity/Q21067533,Thomas Mensah,3,http://www.wikidata.org/entity/Q117,Ghana
http://www.wikidata.org/entity/Q5460695,Florence Mahoney,3,http://www.wikidata.org/entity/Q1005,The Gambia
http://www.wikidata.org/entity/Q59306043,Tumani Corrah,3,http://www.wikidata.org/entity/Q1005,The Gambia
http://www.wikidata.org/entity/Q96203683,Fadji Maina,3,http://www.wikidata.org/entity/Q1032,Niger
http://www.wikidata.org/entity/Q22674453,Aisha Abubakar Abdulwahab,3,http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q1112014,Alexandre Charles Kiss,3,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q24288578,Josephine Wapakabulo,3,http://www.wikidata.org/entity/Q1036,Uganda
http://www.wikidata.org/entity/Q2897977,Bernard Gitton,3,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3103059,Georges Le Monnier,3,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3169492,Jean-Pierre Lebreton,3,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3169932,Jean-Renﾃｩ de Verdun de la Crenne,3,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q4159226,Maurice Jean Antoine Destrem,3,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q4521648,Joseph Schwartz,3,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q6169123,Jean-Claude Kebabdjian,3,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q11941591,Pierre-Franﾃｧois-Guillaume Boullay,3,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q12084287,Ilﾊｹko Borshchak,3,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q10375249,Suzanne Daveau,3,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q18002918,Adolphe d・・Assier,3,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q19281940,Daniel Alagille,3,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q21055253,Frﾃｩdﾃｩric Triebel,3,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q7037221,Nils Bang,3,http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q7342755,Robert Carl-Heinz Shell,3,http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q8023484,Wim Richter,3,http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q42177417,Anna Coutsoudis,3,http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q89934008,Winifred Hoernlﾃｩ,3,http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q6763142,Hussein Hamid,2,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q6890943,Mohamed Abdou,2,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q28913759,Abdoulaye A. Djimde,2,http://www.wikidata.org/entity/Q912,Mali
http://www.wikidata.org/entity/Q12178909,Q12178909,2,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q12180669,Q12180669,2,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q17466424,Asanterabi Malima,2,http://www.wikidata.org/entity/Q924,Tanzania
http://www.wikidata.org/entity/Q42159619,Professor Davis G. Mwamfupe,2,http://www.wikidata.org/entity/Q924,Tanzania
http://www.wikidata.org/entity/Q79351504,Q79351504,2,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q39494791,Margaret Karembu,2,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q42544789,Rachel Chikwamba,2,http://www.wikidata.org/entity/Q954,Zimbabwe
http://www.wikidata.org/entity/Q61918909,Washington Yotto Ochieng,2,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q62129653,Teresia Mbaika Malokwe,2,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q78727540,Hope Mwanake,2,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q104425425,Nzambi Matee,2,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q5415879,Evans Anfom,2,http://www.wikidata.org/entity/Q117,Ghana
http://www.wikidata.org/entity/Q12344968,Anani Dzidzienyo,2,http://www.wikidata.org/entity/Q117,Ghana
http://www.wikidata.org/entity/Q30238444,Alexander Adu Clerk,2,http://www.wikidata.org/entity/Q117,Ghana
http://www.wikidata.org/entity/Q68117345,Mavis Owureku-Asare,2,http://www.wikidata.org/entity/Q117,Ghana
http://www.wikidata.org/entity/Q70593992,Anne Amuzu,2,http://www.wikidata.org/entity/Q117,Ghana
http://www.wikidata.org/entity/Q23670967,Boghuma Kabisen Titanji,2,http://www.wikidata.org/entity/Q1009,Cameroon
http://www.wikidata.org/entity/Q21392015,Achille P. Raselimanana,2,http://www.wikidata.org/entity/Q1019,Madagascar
http://www.wikidata.org/entity/Q12239936,Mu・ｸ･ammad al-Mu・ｸｫtar Wuld-Abbﾄ・h,2,http://www.wikidata.org/entity/Q1025,Mauritania
http://www.wikidata.org/entity/Q50657448,Mustapha El Bouhssini,2,http://www.wikidata.org/entity/Q1028,Morocco
http://www.wikidata.org/entity/Q1685208,Jean-Pierre Giroud,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q99361654,Catherine Nakalembe,2,http://www.wikidata.org/entity/Q1036,Uganda
http://www.wikidata.org/entity/Q42853966,Proscovia Nabbanja,2,http://www.wikidata.org/entity/Q1036,Uganda
http://www.wikidata.org/entity/Q4695942,Ahmed Mumin Warfa,2,http://www.wikidata.org/entity/Q1045,Somalia
http://www.wikidata.org/entity/Q4725175,Ali Said Faqi,2,http://www.wikidata.org/entity/Q1045,Somalia
http://www.wikidata.org/entity/Q2833549,Alexandre Claude Martin Lebaillif,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2959724,Charles Madic,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2959882,Charles Mﾃｩrieux,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3069388,Fernand de Saintignon,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3106230,Filleau des Billettes,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3131964,Henri Sabatier,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3386745,Pierre Rainssant,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3557313,Victor Fﾃｩnoux,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q5391634,Daniel Tyteca,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q4054945,Sergey Abramov,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q4532585,Sergueﾃｯ Ernst,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q6169946,Jean-Pierre Rocroi,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q6291261,Josﾃｩ Achache,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q11929354,Jules Franﾃｧois Joubert,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q15646092,Paul-Henri Gourdot,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q15979722,Jean Aubouin,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q16027754,Eugﾃｨne Wollman,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q16785359,Julien Thoulet,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q16864579,Serge Renaud,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q23883396,Renaud Piarroux,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q23656499,Lﾃｩon Robel,2,http://www.wikidata.org/entity/Q142,France
